id,name,country,position,second_position,club,age,born,matches_played,matches_started,minutes_played,goals,assists,goals_and_assists,yellow_cards,red_cards
450,Anthony Markanich,PHI,Defender,,St. Louis,24,1999,19,15,"1,312",0,0,0,6,1
451,Idan Markovich,ISR,Forward,,Charlotte,19,2004,1,0,18,0,0,0,0,0
452,Marlon,BRA,Defender,,LAFC,28,1995,5,1,126,1,0,1,1,0
453,Jahkeele Marshall-Rutty,CAN,Defender,Midfielder,Toronto FC,19,2004,22,10,"1,035",1,3,4,1,0
454,Jahkeele Marshall-Rutty,CAN,Defender,Midfielder,CF Montréal,19,2004,9,7,650,0,0,0,2,0
455,Alonso Martínez,CRC,Forward,,NYCFC,25,1998,26,19,"1,488",16,3,19,1,0
456,David Martínez,VEN,Forward,Midfielder,LAFC,17,2006,17,4,456,4,2,6,2,1
457,Josef Martínez,VEN,Forward,Midfielder,CF Montréal,30,1993,23,13,"1,376",11,3,14,2,0
458,Luís Martins,POR,Defender,Midfielder,Vancouver W'caps,31,1992,16,9,774,0,1,1,0,0
459,Thiago Martins,BRA,Defender,,NYCFC,28,1995,31,31,"2,789",0,0,0,5,0
460,Alexandru Mățan,ROU,Midfielder,,Columbus Crew,24,1999,28,17,"1,441",4,2,6,2,0
461,Jimmy Maurer,USA,Keeper,,FC Dallas,35,1988,4,4,360,0,0,0,0,0
462,Andreas Maxsø,DEN,Defender,,Colorado Rapids,29,1994,34,34,"3,060",0,1,1,3,0
463,Olivier Mbaizo,CMR,Defender,,Philadelphia Union,26,1997,21,12,"1,110",0,1,1,0,0
464,John McCarthy,USA,Keeper,,LA Galaxy,31,1992,32,32,"2,880",0,0,0,1,0
465,Dax McCarty,USA,Midfielder,,Atlanta Utd,36,1987,22,10,915,0,0,0,1,0
466,Christian McFarlane,ENG,Defender,Midfielder,NYCFC,17,2007,8,4,364,0,0,0,0,0
467,Jack McGlynn,USA,Midfielder,,Philadelphia Union,20,2003,30,25,"2,309",4,5,9,3,0
468,Zac McGraw,CAN,Defender,,Portland Timbers,26,1997,13,10,857,0,0,0,2,0
469,Duncan McGuire,USA,Forward,,Orlando City,22,2001,27,18,"1,600",10,2,12,6,0
470,Thomas McNamara,USA,Forward,Midfielder,NE Revolution,32,1991,5,2,203,0,0,0,0,0
471,Brendan McSorley,USA,Forward,,St. Louis,21,2002,1,0,9,0,0,0,0,0
472,Christopher McVey,SWE,Defender,,D.C. United,26,1997,27,26,"2,145",1,0,1,5,0
473,Ryan Meara,USA,Keeper,,NY Red Bulls,33,1990,7,7,630,0,0,0,1,0
474,Tim Melia,USA,Keeper,,Sporting KC,37,1986,28,28,"2,520",0,0,0,1,0
475,Jonathan Mensah,GHA,Defender,Forward,NE Revolution,33,1990,8,3,268,0,0,0,0,0
476,Loïc Mesanvi,TOG,Forward,Midfielder,Minnesota Utd,20,2003,3,0,65,0,0,0,0,0
477,Lionel Messi,ARG,Forward,Midfielder,Inter Miami,36,1987,19,15,"1,489",20,11,31,2,0
478,Matt Miazga,USA,Defender,,FC Cincinnati,28,1995,16,16,"1,413",0,0,0,3,0
479,Micael,BRA,Defender,,Houston Dynamo,23,2000,32,30,"2,769",0,0,0,6,0
480,Benji Michel,USA,Forward,Midfielder,Real Salt Lake,26,1997,2,0,33,0,0,0,0,0
481,Novak Mićović,SRB,Keeper,,LA Galaxy,22,2001,2,2,180,0,0,0,1,0
482,Djordje Mihailovic,USA,Midfielder,,Colorado Rapids,25,1998,29,29,"2,473",11,10,21,6,0
483,Jovan Mijatović,SRB,Forward,Midfielder,NYCFC,18,2005,11,2,271,0,0,0,0,0
484,Eric Miller,USA,Defender,,Portland Timbers,31,1993,25,8,"1,012",1,1,2,3,0
485,Kamal Miller,CAN,Defender,,Portland Timbers,26,1997,23,22,"1,959",0,0,0,8,0
486,Peyton Miller,USA,Defender,,NE Revolution,16,2007,10,8,683,0,2,2,2,0
487,Tyler Miller,USA,Keeper,,D.C. United,30,1993,5,5,450,0,0,0,1,0
488,Georgi Minoungou,CIV,Forward,,Seattle Sounders FC,21,2002,10,3,371,1,0,1,0,0
489,Aleksei Miranchuk,RUS,Midfielder,Forward,Atlanta Utd,28,1995,9,8,748,3,1,4,0,0
490,Roald Mitchell,USA,Forward,,NY Red Bulls,21,2003,2,0,18,0,0,0,0,0
491,Shakur Mohammed,GHA,Midfielder,Forward,Orlando City,20,2003,2,0,5,0,0,0,0,0
492,Shaq Moore,USA,Defender,,Nashville SC,27,1996,23,19,"1,671",1,2,3,2,0
493,Felipe Mora,CHI,Forward,,Portland Timbers,30,1993,29,22,"1,889",14,2,16,3,1
494,Alfredo Morales,USA,Midfielder,,SJ Earthquakes,33,1990,23,4,649,0,0,0,3,0
495,Efrain Morales,BOL,Defender,,Atlanta Utd,19,2004,4,3,244,0,0,0,0,0
496,Maximiliano Moralez,ARG,Midfielder,Forward,NYCFC,36,1987,17,9,901,1,5,6,4,0
497,Steven Moreira,CPV,Defender,,Columbus Crew,29,1994,27,23,"2,108",2,3,5,0,0
498,Junior Moreno,VEN,Midfielder,Forward,Houston Dynamo,30,1993,2,0,22,0,0,0,0,0
499,Santiago Moreno,COL,Forward,Midfielder,Portland Timbers,23,2000,31,29,"2,435",6,10,16,1,0
500,Lewis Morgan,SCO,Forward,Midfielder,NY Red Bulls,27,1996,29,26,"2,414",13,5,18,0,0
501,Aidan Morris,USA,Midfielder,,Columbus Crew,22,2001,16,15,"1,274",2,2,4,0,0
502,Jordan Morris,USA,Forward,,Seattle Sounders FC,29,1994,34,32,"2,790",13,4,17,4,0
503,Edwin Mosquera,COL,Forward,Midfielder,Atlanta Utd,22,2001,22,5,626,1,3,4,2,0
504,Jean Mota,BRA,Midfielder,,Inter Miami,30,1993,2,0,26,0,0,0,0,0
505,Cole Mrowka,USA,Midfielder,,Columbus Crew,17,2006,1,0,1,0,0,0,0,0
506,Chris Mueller,USA,Forward,Midfielder,Chicago Fire,27,1996,27,15,"1,352",0,2,2,1,0
507,Hany Mukhtar,GER,Midfielder,Forward,Nashville SC,28,1995,32,31,"2,745",8,9,17,5,0
508,Luis Müller,GER,Forward,Midfielder,LAFC,22,2001,4,0,8,0,0,0,0,0
509,Daniel Munie,USA,Defender,,SJ Earthquakes,23,2000,17,12,"1,114",0,0,0,0,0
510,Luis Muriel,COL,Forward,Midfielder,Orlando City,32,1991,33,14,"1,583",5,5,10,2,0
511,Ian Murphy,USA,Defender,,FC Cincinnati,24,2000,31,23,"2,290",0,0,0,8,0
512,Jacob Murrell,USA,Forward,Midfielder,D.C. United,19,2004,27,6,884,1,2,3,2,0
513,Petar Musa,CRO,Forward,,FC Dallas,25,1998,30,27,"2,297",16,3,19,6,0
514,Daniel Musovski,USA,Forward,Midfielder,Seattle Sounders FC,28,1995,24,4,516,1,1,2,1,0
515,Alex Muyl,USA,Forward,Defender,Nashville SC,28,1995,34,27,"2,302",5,1,6,3,0
516,Tristan Muyumba,FRA,Midfielder,,Atlanta Utd,26,1997,30,25,"2,115",0,2,2,5,0
517,Darlington Nagbe,USA,Midfielder,,Columbus Crew,33,1990,29,28,"2,347",0,1,1,2,0
518,Federico Navarro,ARG,Midfielder,,Chicago Fire,23,2000,16,8,679,0,1,1,5,0
519,Rafael Navarro,BRA,Forward,,Colorado Rapids,23,2000,34,33,"2,773",15,1,16,6,0
520,Logan Ndenbe,BEL,Defender,,Sporting KC,23,2000,5,3,239,0,0,0,0,0
521,Jalen Neal,USA,Defender,,LA Galaxy,20,2003,18,14,"1,383",0,0,0,4,0
522,Dylan Nealis,USA,Defender,,NY Red Bulls,25,1998,30,25,"2,331",0,3,3,3,1
523,Sean Nealis,USA,Defender,,NY Red Bulls,27,1997,28,24,"2,236",0,2,2,4,2
524,Franco Negri,ARG,Defender,,Inter Miami,28,1995,11,9,790,0,1,1,1,0
525,John Nelson,USA,Defender,,LA Galaxy,25,1998,23,12,"1,166",0,0,0,2,0
526,Jake Nerwinski,USA,Defender,,St. Louis,29,1994,11,6,558,1,0,1,1,0
527,Serge Ngoma,USA,Midfielder,Forward,NY Red Bulls,18,2005,8,0,117,1,0,1,2,0
528,Joakim Nilsson,SWE,Defender,,St. Louis,29,1994,19,15,"1,211",1,0,1,5,0
529,Nolan Norris,USA,Midfielder,,FC Dallas,18,2005,4,2,194,0,0,0,3,0
530,Tsiki Ntsabeleng,RSA,Midfielder,Forward,FC Dallas,25,1998,25,11,"1,085",1,1,2,3,0
531,Obinna Nwobodo,NGA,Midfielder,,FC Cincinnati,27,1996,30,29,"2,456",0,1,1,9,1
532,Moses Nyeman,USA,Midfielder,,Minnesota Utd,20,2003,4,1,133,0,0,0,0,1
533,Lewis O'Brien,ENG,Midfielder,,LAFC,25,1998,9,9,784,0,1,1,1,1
534,Aidan O'Connor,USA,Defender,,NY Red Bulls,22,2001,2,0,19,0,0,0,0,0
535,Rory O'Driscoll,USA,Forward,Midfielder,Minnesota Utd,23,2000,1,0,1,0,0,0,0,0
536,Shane O'Neill,USA,Defender,,Toronto FC,30,1993,20,14,"1,135",0,0,0,7,0
537,Kevin O'Toole,USA,Defender,,NYCFC,25,1998,30,28,"2,394",1,3,4,1,0
538,Jáder Obrian,COL,Forward,Midfielder,Austin,28,1995,34,30,"2,246",7,2,9,5,0
539,Édier Ocampo,COL,Defender,Forward,Vancouver W'caps,20,2003,6,1,177,0,0,0,0,0
540,Agustin Ojeda,ARG,Forward,,NYCFC,19,2004,22,11,925,3,0,3,1,0
541,Braian Ojeda,PAR,Midfielder,,Real Salt Lake,23,2000,33,31,"2,690",2,4,6,6,1
542,Martín Ojeda,ARG,Midfielder,Forward,Orlando City,25,1998,34,24,"1,905",4,9,13,2,0
543,Cristian Olivera,URU,Forward,Midfielder,LAFC,21,2002,21,21,"1,714",6,1,7,1,0
544,Christopher Olney,USA,Midfielder,,Philadelphia Union,17,2006,1,0,19,0,0,0,0,0
545,Tani Oluwaseyi,CAN,Forward,Midfielder,Minnesota Utd,23,2000,25,10,"1,084",8,5,13,4,0
546,Wyatt Omsberg,USA,Defender,,Chicago Fire,28,1995,12,11,835,0,0,0,4,0
547,Kwadwo Opoku,GHA,Midfielder,Forward,CF Montréal,22,2001,16,6,522,2,1,3,0,0
548,Nathan Ordaz,SLV,Forward,Midfielder,LAFC,20,2004,17,3,381,1,2,3,1,0
549,Luca Orellano,ARG,Defender,Forward,FC Cincinnati,23,2000,33,30,"2,644",10,5,15,6,0
550,Prince Osei Owusu,GER,Forward,,Toronto FC,27,1997,31,20,"1,839",9,0,9,2,0
551,Jonathan Osorio,CAN,Midfielder,Forward,Toronto FC,31,1992,22,21,"1,853",2,1,3,8,0
552,Tomáš Ostrák,CZE,Midfielder,,St. Louis,23,2000,12,8,689,1,0,1,3,0
553,Javier Otero,VEN,Keeper,,Orlando City,21,2002,1,0,62,0,0,0,0,0
554,Bryan Oviedo,CRC,Defender,,Real Salt Lake,33,1990,15,6,635,0,2,2,2,0
555,Devin Padelford,USA,Defender,,Minnesota Utd,21,2003,24,19,"1,589",0,0,0,4,0
556,Maarten Paes,IDN,Keeper,,FC Dallas,25,1998,30,30,"2,700",0,0,0,2,0
557,Joseph Paintsil,GHA,Forward,,LA Galaxy,25,1998,29,28,"2,294",10,7,17,7,0
558,Nelson Palacio,COL,Midfielder,,Real Salt Lake,22,2001,23,5,744,1,1,2,2,0
559,Sergi Palencia,ESP,Defender,Midfielder,LAFC,27,1996,30,26,"2,289",0,2,2,9,1
560,Jack Panayotou,USA,Forward,Midfielder,NE Revolution,19,2004,6,3,262,0,0,0,1,0
561,Elliot Panicco,USA,Keeper,,Nashville SC,27,1996,6,5,432,0,0,0,0,0
562,James Pantemis,CAN,Keeper,,Portland Timbers,26,1997,15,14,"1,301",0,0,0,0,0
563,Cristhian Paredes,PAR,Midfielder,,Portland Timbers,25,1998,31,13,"1,350",0,2,2,4,0
564,Isaiah Parente,USA,Midfielder,,LA Galaxy,23,2000,6,0,44,0,0,0,0,0
565,Tim Parker,USA,Defender,,NE Revolution,30,1993,7,4,400,0,0,0,2,0
566,Tim Parker,USA,Defender,,St. Louis,30,1993,21,20,"1,789",0,0,0,6,0
567,Keaton Parks,USA,Midfielder,,NYCFC,26,1997,32,30,"2,504",2,2,4,7,1
568,Jamie Paterson,ENG,Forward,Midfielder,Charlotte,32,1991,4,0,49,0,0,0,0,0
569,João Paulo Mior,BRA,Midfielder,,Seattle Sounders FC,32,1991,21,16,"1,276",0,1,1,2,0
570,Tom Pearce,ENG,Defender,,CF Montréal,25,1998,8,3,251,1,1,2,2,0
571,João Pedro,BRA,Defender,,Charlotte,20,2003,7,5,460,0,0,0,1,0
572,Amahl Pellegrino,NOR,Forward,,SJ Earthquakes,33,1990,32,22,"1,725",7,2,9,0,0
573,Matti Peltola,FIN,Midfielder,Defender,D.C. United,21,2002,31,24,"2,218",0,0,0,4,1
574,Andrés Perea,USA,Midfielder,,NYCFC,23,2000,28,11,"1,206",3,1,4,5,0
575,Daniel Pereira,VEN,Midfielder,,Austin,23,2000,26,23,"2,033",1,4,5,9,0
576,Joaquín Pereyra,ARG,Midfielder,Forward,Minnesota Utd,25,1998,7,7,407,0,1,1,2,0
577,Jonathan Perez,MEX,Midfielder,Forward,Nashville SC,21,2003,6,2,236,0,0,0,0,0
578,Jonathan Perez,MEX,Forward,Midfielder,LA Galaxy,21,2003,6,2,133,0,0,0,0,0
579,Nikola Petković,SRB,Midfielder,,Charlotte,20,2003,14,5,500,1,1,2,3,0
580,Luca Petrasso,CAN,Midfielder,Forward,Orlando City,23,2000,2,0,23,0,0,0,0,0
581,Raoul Petretta,ITA,Defender,,Toronto FC,26,1997,27,25,"1,902",1,3,4,6,0
582,Fafà Picault,HAI,Forward,Midfielder,Vancouver W'caps,32,1991,29,18,"1,675",9,5,14,8,1
583,Kayden Pierre,USA,Defender,,Sporting KC,20,2003,7,7,454,0,1,1,0,0
584,Samuel Piette,CAN,Midfielder,,CF Montréal,29,1994,27,26,"2,136",1,1,2,6,0
585,Mauricio Pineda,USA,Defender,Midfielder,Chicago Fire,26,1997,21,11,"1,149",1,0,1,5,0
586,Malik Pinto,USA,Midfielder,Forward,FC Cincinnati,21,2002,11,1,157,0,0,0,0,0
587,Gabriel Pirani,BRA,Midfielder,Forward,D.C. United,21,2002,33,13,"1,338",6,1,7,3,0
588,Matt Polster,USA,Midfielder,,NE Revolution,30,1993,31,31,"2,634",0,1,1,9,0
589,Célio Pompeu,BRA,Forward,Midfielder,St. Louis,24,1999,17,15,"1,243",3,3,6,5,0
590,Paxton Pomykal,USA,Midfielder,,FC Dallas,24,1999,1,0,7,0,0,0,0,0
591,Ezequiel Ponce,ARG,Forward,,Houston Dynamo,26,1997,10,9,741,5,0,5,3,0
592,Tomas Pondeca,USA,Midfielder,,FC Dallas,22,2001,3,2,116,0,0,0,0,0
593,Alvas Powell,JAM,Defender,,FC Cincinnati,29,1994,20,10,784,0,0,0,4,1
594,Ralph Priso-Mbongue,CAN,Midfielder,,Vancouver W'caps,21,2002,14,5,479,0,1,1,2,0
595,Andrew Privett,USA,Defender,,Charlotte,23,2000,30,30,"2,681",0,0,0,5,0
596,Riqui Puig,ESP,Midfielder,,LA Galaxy,24,1999,29,28,"2,539",13,9,22,10,0
597,Teemu Pukki,FIN,Forward,,Minnesota Utd,33,1990,21,11,939,4,0,4,0,0
598,Alan Pulido,MEX,Forward,Midfielder,Sporting KC,32,1991,31,22,"1,953",7,4,11,1,0
599,John Pulskamp,USA,Keeper,,Sporting KC,22,2001,6,6,540,0,0,0,1,0
600,Philip Quinton,USA,Defender,,Columbus Crew,24,1999,1,1,90,0,0,0,1,0
601,Philip Quinton,USA,Defender,,Real Salt Lake,24,1999,19,15,"1,227",1,0,1,0,0
602,Nemanja Radoja,SRB,Midfielder,,Sporting KC,30,1993,25,25,"2,127",1,3,4,5,0
603,Jeremy Rafanello,USA,Midfielder,,Philadelphia Union,23,2000,11,4,321,0,0,0,0,0
604,Jackson Ragen,USA,Defender,,Seattle Sounders FC,25,1998,33,33,"2,902",3,1,4,5,1
605,Brooklyn Raines,USA,Midfielder,Forward,Houston Dynamo,18,2005,15,4,421,0,0,0,3,0
606,Alonso Ramírez,MEX,Midfielder,,Austin,22,2001,2,0,23,0,0,0,0,0
607,Anthony Ramirez,USA,Midfielder,,FC Dallas,18,2005,1,0,1,0,0,0,0,0
608,Christian Ramirez,USA,Midfielder,Forward,Columbus Crew,32,1991,25,16,"1,429",8,3,11,0,0
609,Rubén Ramos,USA,Forward,Midfielder,LA Galaxy,17,2007,2,0,14,0,0,0,0,0
610,Ryan Raposo,CAN,Defender,Midfielder,Vancouver W'caps,24,1999,30,18,"1,584",3,4,7,3,0
611,Henrich Ravas,SVK,Keeper,,NE Revolution,26,1997,8,8,720,0,0,0,0,0
612,Tim Ream,USA,Defender,,Charlotte,36,1987,9,9,795,1,0,1,0,0
613,Federico Redondo,ARG,Midfielder,,Inter Miami,21,2003,16,14,"1,118",2,2,4,5,0
614,Jayden Reid,USA,Defender,,St. Louis,22,2001,12,7,732,0,2,2,3,0
615,Marco Reus,GER,Midfielder,,LA Galaxy,34,1989,6,4,358,1,2,3,0,0
616,Andrés Reyes,COL,Defender,,NY Red Bulls,24,1999,23,18,"1,492",1,0,1,3,1
617,Justin Reynolds,USA,Defender,,Chicago Fire,19,2004,8,1,224,0,0,0,0,0
618,Emanuel Reynoso,ARG,Midfielder,,Minnesota Utd,28,1995,1,0,31,0,0,0,0,0
619,Spencer Richey,USA,Keeper,,Chicago Fire,31,1992,1,1,90,0,0,0,0,0
620,Will Richmond,USA,Forward,,SJ Earthquakes,23,2000,1,0,2,0,0,0,0,0
621,Andrew Rick,USA,Keeper,,Philadelphia Union,18,2006,6,6,540,0,0,0,0,0
622,Jamar Ricketts,USA,Midfielder,,SJ Earthquakes,22,2001,1,0,35,0,0,0,0,0
623,Kalani Rienzi,USA,Defender,Forward,Seattle Sounders FC,21,2002,1,0,13,0,0,0,1,0
624,Emiliano Rigoni,ARG,Forward,,Austin,30,1993,11,7,702,1,0,1,0,0
625,Alexander Ring,FIN,Midfielder,,Austin,32,1991,34,29,"2,596",2,4,6,5,0
626,Birk Risa,NOR,Defender,,NYCFC,25,1998,29,25,"2,155",0,0,0,2,0
627,Miles Robinson,USA,Defender,,FC Cincinnati,26,1997,25,25,"2,229",1,0,1,5,1
628,Stian Rode Gregersen,NOR,Defender,,Atlanta Utd,28,1995,23,20,"1,761",2,0,2,9,1
629,Rodrigues,BRA,Defender,,SJ Earthquakes,26,1997,31,31,"2,758",3,1,4,3,0
630,Jonathan Rodríguez,URU,Forward,,Portland Timbers,30,1993,29,27,"2,427",16,5,21,7,0
631,Martín Rodríguez,CHI,Midfielder,,D.C. United,29,1994,25,12,"1,257",2,2,4,5,0
632,Memo Rodriguez,USA,Midfielder,,Sporting KC,28,1995,26,18,"1,615",2,5,7,7,0
633,Santiago Rodríguez,URU,Forward,Midfielder,NYCFC,24,2000,32,32,"2,792",12,6,18,8,0
634,Matías Rojas,PAR,Midfielder,Forward,Inter Miami,28,1995,14,9,802,4,2,6,1,0
635,Alex Roldan,SLV,Defender,,Seattle Sounders FC,27,1996,29,27,"2,284",1,0,1,1,1
636,Cristian Roldan,USA,Midfielder,Forward,Seattle Sounders FC,28,1995,33,32,"2,839",1,1,2,2,0
637,Kage Romanshyn,USA,Forward,,Minnesota Utd,18,2005,1,0,12,0,0,0,0,0
638,Abraham Romero,MEX,Keeper,,Columbus Crew,25,1998,2,2,134,0,0,0,0,1
639,David Romney,USA,Defender,,NE Revolution,30,1993,27,24,"2,218",0,0,0,1,0
640,Connor Ronan,IRL,Midfielder,,Colorado Rapids,25,1998,26,21,"1,809",1,1,2,2,0
641,Joseph Rosales,HON,Defender,Midfielder,Minnesota Utd,23,2000,30,26,"2,399",0,7,7,7,1
642,Keegan Rosenberry,USA,Defender,,Colorado Rapids,30,1993,31,29,"2,623",0,1,1,1,0
643,Daniel Rosero,COL,Defender,,Sporting KC,30,1993,23,22,"1,891",2,0,2,5,0
644,Diego Rossi,URU,Midfielder,Forward,Columbus Crew,25,1998,34,30,"2,627",12,7,19,3,0
645,Sigurd Rosted,NOR,Defender,,Toronto FC,29,1994,25,19,"1,752",0,0,0,4,0
646,Paul Rothrock,USA,Forward,,Seattle Sounders FC,25,1999,25,13,"1,316",5,2,7,3,0
647,Ruan,BRA,Defender,Midfielder,FC Dallas,28,1995,6,5,427,0,1,1,1,0
648,Ruan,BRA,Defender,Midfielder,CF Montréal,28,1995,25,24,"1,993",2,3,5,2,0
649,Diego Rubio,CHI,Forward,,Austin,30,1993,33,23,"1,882",4,1,5,7,0
650,Raúl Ruidíaz,PER,Forward,,Seattle Sounders FC,33,1990,24,14,"1,352",8,0,8,2,1
651,Pablo Ruíz,ARG,Midfielder,Forward,Real Salt Lake,25,1998,3,2,170,0,0,0,1,0
652,David Ruíz-Ochoa,HON,Midfielder,Defender,Inter Miami,19,2004,28,11,"1,085",1,2,3,3,1
653,Albert Rusnák,SVK,Midfielder,,Seattle Sounders FC,29,1994,32,28,"2,530",10,12,22,2,0
654,Johnny Russell,SCO,Forward,,Sporting KC,33,1990,29,18,"1,731",4,3,7,5,0
655,Jacen Russell-Rowe,CAN,Midfielder,Forward,Columbus Crew,21,2002,22,10,"1,033",5,1,6,0,0
656,Ryan Sailor,USA,Defender,,Inter Miami,25,1998,9,2,316,0,0,0,1,0
657,Carle-Fred Sainte,HAI,Midfielder,,FC Dallas,21,2002,6,1,149,0,0,0,0,0
658,Nathan-Dylan Saliba,CAN,Midfielder,,CF Montréal,19,2004,24,18,"1,651",1,1,2,7,1
659,Dániel Sallói,HUN,Forward,,Sporting KC,27,1996,30,23,"2,120",3,4,7,4,0
660,Tobias Salquist,DEN,Defender,,Chicago Fire,28,1995,14,10,919,0,1,1,1,0
661,Ilie Sánchez,ESP,Midfielder,,LAFC,33,1990,31,24,"2,156",1,1,2,5,0
662,James Sands,USA,Midfielder,,NYCFC,23,2000,29,29,"2,555",1,1,2,10,1
663,William Sands,USA,Defender,,NE Revolution,23,2000,5,5,433,0,2,2,0,0
664,William Sands,USA,Defender,,Columbus Crew,23,2000,6,4,256,0,0,0,0,0
665,Jeong Sangbin,KOR,Forward,Midfielder,Minnesota Utd,21,2002,32,25,"2,171",6,1,7,4,0
666,Sergio Santos Gomes,BRA,Forward,,FC Cincinnati,29,1994,28,6,924,3,1,4,1,0
667,Pedro Santos,POR,Defender,Midfielder,D.C. United,35,1988,30,20,"1,800",3,3,6,6,1
668,Rafael Santos,BRA,Defender,,Orlando City,25,1998,32,23,"2,069",1,3,4,2,0
669,Hayden Sargis,USA,Defender,,D.C. United,21,2002,1,0,30,0,0,0,1,0
670,Nick Scardina,USA,Forward,,Charlotte,22,2001,1,0,1,0,0,0,0,0
671,Rodrigo Schlegel,ARG,Defender,,Orlando City,26,1997,28,26,"2,296",1,0,1,5,1
672,Tate Schmitt,USA,Defender,,Houston Dynamo,26,1997,16,4,435,0,0,0,1,0
673,David Schnegg,AUT,Defender,,D.C. United,25,1998,2,1,121,1,0,1,1,0
674,Alessandro Schöpf,AUT,Midfielder,Defender,Vancouver W'caps,29,1994,30,23,"1,938",1,1,2,6,1
675,Patrick Schulte,USA,Keeper,,Columbus Crew,22,2001,27,27,"2,430",0,0,0,3,0
676,Tarik Scott,USA,Forward,,FC Dallas,18,2005,2,0,54,0,0,0,1,0
677,Dante Sealy,USA,Defender,Midfielder,FC Dallas,20,2003,17,9,861,1,0,1,3,0
678,Gabe Segal,USA,Forward,,Houston Dynamo,22,2001,13,2,202,2,0,2,1,0
679,Eddie Segura,COL,Defender,Midfielder,LAFC,26,1997,27,12,"1,348",0,1,1,4,0
680,Amar Sejdic,USA,Midfielder,,Nashville SC,27,1996,17,1,306,0,0,0,0,0
681,Oliver Semmle,GER,Keeper,,Philadelphia Union,25,1998,17,14,"1,408",0,0,0,1,0
682,Brandon Servania,USA,Midfielder,,Toronto FC,24,1999,3,1,65,0,0,0,0,0
683,Jacob Shaffelburg,CAN,Forward,Defender,Nashville SC,24,1999,23,16,"1,409",2,3,5,2,0
684,Xherdan Shaqiri,SUI,Midfielder,Forward,Chicago Fire,32,1991,12,9,741,2,1,3,1,0
685,Charles Sharp,USA,Forward,Midfielder,Toronto FC,22,2001,2,0,27,0,0,0,0,0
686,Samuel Shashoua,ENG,Midfielder,Forward,Minnesota Utd,24,1999,3,0,22,0,0,0,0,0
687,Khiry Shelton,USA,Defender,,Sporting KC,30,1993,19,9,"1,033",0,2,2,3,0
688,Show,ANG,Midfielder,,FC Dallas,24,1999,7,6,491,0,0,0,0,0
689,Marcelo Silva,URU,Defender,,Real Salt Lake,34,1989,3,2,181,0,0,0,0,0
690,Tommy Silva,USA,Defender,,Real Salt Lake,21,2002,1,0,19,0,0,0,0,0
691,Xande Silva,POR,Forward,Midfielder,Atlanta Utd,26,1997,23,17,"1,453",2,1,3,2,0
692,Jonathan Sirois,CAN,Keeper,,CF Montréal,22,2001,33,33,"2,970",0,0,0,1,0
693,Jack Skahan,USA,Midfielder,Forward,SJ Earthquakes,25,1998,29,6,860,1,1,2,6,0
694,Joseph Skinner,USA,Forward,,Nashville SC,20,2003,2,0,5,0,0,0,0,0
695,Bartosz Slisz,POL,Midfielder,,Atlanta Utd,24,1999,28,27,"2,398",1,0,1,3,0
696,Tyger Smalls,,Forward,,Charlotte,,,15,1,225,0,0,0,3,0
697,Alec Smir,USA,Keeper,,Minnesota Utd,24,1999,3,3,270,0,0,0,0,0
698,Brad Smith,AUS,Forward,Defender,Houston Dynamo,29,1994,20,1,401,2,2,4,1,0
699,Kyle Smith,USA,Defender,Midfielder,Orlando City,32,1992,29,12,"1,150",0,1,1,2,0
700,Mohammed Sofo,GHA,Midfielder,,NY Red Bulls,19,2004,1,0,28,0,0,0,0,0
701,Joaquin Sosa,URU,Defender,,CF Montréal,22,2002,19,15,"1,270",0,0,0,4,0
702,Arnaud Souquet,FRA,Defender,,Chicago Fire,31,1992,26,21,"1,868",0,1,1,0,0
703,Ryan Spaulding,USA,Defender,Midfielder,NE Revolution,25,1998,11,4,447,0,0,0,0,1
704,Tyrese Spicer,TRI,Defender,Midfielder,Toronto FC,23,2000,19,13,"1,064",2,1,3,2,0
705,Dayne St. Clair,CAN,Keeper,,Minnesota Utd,26,1997,26,26,"2,340",0,0,0,2,0
706,Mason Stajduhar,USA,Keeper,,Orlando City,26,1997,5,5,388,0,0,0,0,0
707,Zack Steffen,USA,Keeper,,Colorado Rapids,28,1995,33,33,"2,970",0,0,0,3,0
708,Daniel Steres,USA,Defender,,Houston Dynamo,33,1990,21,12,"1,171",2,2,4,5,0
709,Kimani Stewart-Baynes,CAN,Forward,Midfielder,Colorado Rapids,19,2005,12,0,140,0,1,1,0,0
710,Jared Stroud,USA,Midfielder,Forward,D.C. United,27,1996,33,32,"2,496",3,7,10,4,0
711,Peter Stroud,USA,Midfielder,,NY Red Bulls,21,2002,14,12,844,0,1,1,2,0
712,Brad Stuver,USA,Keeper,,Austin,32,1991,34,34,"3,060",0,0,0,2,0
713,Luis Suárez,URU,Forward,,Inter Miami,37,1987,27,21,"1,918",20,9,29,6,0
714,Cavan Sullivan,USA,Midfielder,Forward,Philadelphia Union,14,2009,3,0,10,0,0,0,0,0
715,Quinn Sullivan,USA,Midfielder,Forward,Philadelphia Union,19,2004,34,25,"2,403",5,8,13,4,0
716,Lawson Sunderland,USA,Midfielder,,Inter Miami,22,2001,5,3,193,0,1,1,0,0
717,Finn Surman,NZL,Defender,,Portland Timbers,20,2003,1,1,90,0,0,0,0,0
718,Sam Surridge,ENG,Forward,,Nashville SC,25,1998,28,27,"2,387",12,2,14,4,0
